col1,col2
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
A,1
